name,Icon/href,Camera/longitude,Camera/latitude,Camera/altitude,Camera/heading,Camera/tilt,Camera/roll,ViewVolume/leftFov,ViewVolume/rightFov,ViewVolume/topFov,ViewVolume/bottomFov,ViewVolume/near,styleUrl,Point/coordinates,_id
1,Track_A-CAM1-1_2018.07.29_00.35.12(740).jpg,75.818748277601912,26.908315995288650,2.000000000000000,191.0658,88.2352,1.3252,-32.9946,35.6476,33.8909,-34.7884,2.0000,#foto,"75.818748277601912,26.908315995288650,388.987941345199940",1
2,Track_A-CAM1-2_2018.07.29_00.37.15(040).jpg,75.818740658015244,26.908284395750865,2.000000000000000,191.3326,88.7548,1.2665,-32.9946,35.6476,33.8909,-34.7884,2.0000,#foto,"75.818740658015244,26.908284395750865,389.012865052558480",2
3,Track_A-CAM1-3_2018.07.29_00.37.16(685).jpg,75.818729351819073,26.908238715594194,2.000000000000000,192.4750,88.3615,1.0921,-32.9946,35.6476,33.8909,-34.7884,2.0000,#foto,"75.818729351819073,26.908238715594194,389.053754424676300",3
4,Track_A-CAM1-4_2018.07.29_00.37.18(648).jpg,75.818713426803328,26.908182345784095,2.000000000000000,195.0197,87.6374,1.1396,-32.9946,35.6476,33.8909,-34.7884,2.0000,#foto,"75.818713426803328,26.908182345784095,389.060628539882600",4
5,Track_A-CAM1-5_2018.07.29_00.37.20(075).jpg,75.818699373052183,26.908141078270493,2.000000000000000,197.8994,87.3381,1.4476,-32.9946,35.6476,33.8909,-34.7884,2.0000,#foto,"75.818699373052183,26.908141078270493,389.017548432573680",5
6,Track_A-CAM1-6_2018.07.29_00.37.21(481).jpg,75.818682209146516,26.908100027406491,2.000000000000000,201.8996,88.0119,1.5638,-32.9946,35.6476,33.8909,-34.7884,2.0000,#foto,"75.818682209146516,26.908100027406491,388.991483581252400",6
7,Track_A-CAM1-7_2018.07.29_00.37.22(865).jpg,75.818661488065700,26.908060044430076,2.000000000000000,206.8695,88.2689,2.0393,-32.9946,35.6476,33.8909,-34.7884,2.0000,#foto,"75.818661488065700,26.908060044430076,389.004437806084750",7
8,Track_A-CAM1-8_2018.07.29_00.37.24(189).jpg,75.818636915790762,26.908022250536646,2.000000000000000,212.4621,88.6121,2.5777,-32.9946,35.6476,33.8909,-34.7884,2.0000,#foto,"75.818636915790762,26.908022250536646,389.031418732367460",8
9,Track_A-CAM1-9_2018.07.29_00.37.25(551).jpg,75.818607480800338,26.907987418982206,2.000000000000000,219.5675,88.5723,1.7755,-32.9946,35.6476,33.8909,-34.7884,2.0000,#foto,"75.818607480800338,26.907987418982206,389.091433991678060",9
10,Track_A-CAM1-10_2018.07.29_00.37.26(902).jpg,75.818572488883035,26.907957034407129,2.000000000000000,230.1527,88.1980,1.2981,-32.9946,35.6476,33.8909,-34.7884,2.0000,#foto,"75.818572488883035,26.907957034407129,389.129495025612410",10
