X,Y,Name,description
75.7388853501,26.902676754,1,Unknown Point Feature
75.738894388,26.9027239517,2,Unknown Point Feature
75.7389038399,26.9027697929,3,Unknown Point Feature
75.738914472,26.9028344971,4,Unknown Point Feature
75.738920607,26.9028812676,5,Unknown Point Feature
75.7389260331,26.902925884,6,Unknown Point Feature
75.738931008,26.9029708007,7,Unknown Point Feature
75.7389353378,26.9030156305,8,Unknown Point Feature
75.7389394794,26.9030593779,9,Unknown Point Feature
75.7389431547,26.9031026583,10,Unknown Point Feature
75.738947039,26.9031455494,11,Unknown Point Feature
75.7389507179,26.9031893804,12,Unknown Point Feature
75.7389539525,26.9032330242,13,Unknown Point Feature
75.7389553617,26.9032762442,14,Unknown Point Feature
75.7389545351,26.9033194398,15,Unknown Point Feature
75.7389545545,26.9033456127,16,Unknown Point Feature
75.7389578323,26.9034129103,17,Unknown Point Feature
75.7389645471,26.903455931,18,Unknown Point Feature
75.7389685764,26.9034994533,19,Unknown Point Feature
75.7389699642,26.9035440186,20,Unknown Point Feature
75.7389705664,26.90358857,21,Unknown Point Feature
75.7389708535,26.9036326806,22,Unknown Point Feature
75.7389704277,26.9036770929,23,Unknown Point Feature
75.7389697963,26.9037208743,24,Unknown Point Feature
75.7389695821,26.9037653126,25,Unknown Point Feature
75.7389704426,26.9038093209,26,Unknown Point Feature
75.7389714856,26.9038550707,27,Unknown Point Feature
75.7389726567,26.9038988427,28,Unknown Point Feature
75.7389745603,26.9039437664,29,Unknown Point Feature
75.7389763477,26.9039878421,30,Unknown Point Feature
75.7389776106,26.9040317852,31,Unknown Point Feature
75.7389786747,26.9040761445,32,Unknown Point Feature
75.7389795124,26.9041212815,33,Unknown Point Feature
75.7389801078,26.9041663385,34,Unknown Point Feature
75.7389804163,26.9042106386,35,Unknown Point Feature
75.7389800879,26.9042545448,36,Unknown Point Feature
75.7389799651,26.9042991,37,Unknown Point Feature
75.7389804487,26.9043440041,38,Unknown Point Feature
75.7389814187,26.9043878132,39,Unknown Point Feature
75.7389828414,26.9044315658,40,Unknown Point Feature
75.7389839024,26.9044754286,41,Unknown Point Feature
75.738984458,26.9045190051,42,Unknown Point Feature
75.738985741,26.904562948,43,Unknown Point Feature
75.738986942,26.9046066747,44,Unknown Point Feature
75.7389880427,26.904650447,45,Unknown Point Feature
75.7389888415,26.9046942661,46,Unknown Point Feature
75.7389892884,26.9047381592,47,Unknown Point Feature
75.7389896246,26.9047820709,48,Unknown Point Feature
75.7389896605,26.9048262461,49,Unknown Point Feature
75.7389893314,26.904870062,50,Unknown Point Feature
75.7389886705,26.9049139429,51,Unknown Point Feature
75.7389878901,26.904958023,52,Unknown Point Feature
75.7389875908,26.9050017665,53,Unknown Point Feature
75.7389873009,26.9050454016,54,Unknown Point Feature
75.7389870244,26.9050895513,55,Unknown Point Feature
75.7389871598,26.9051335634,56,Unknown Point Feature
75.7389878299,26.9051777082,57,Unknown Point Feature
75.7389890629,26.9052216965,58,Unknown Point Feature
75.7389902362,26.9052658025,59,Unknown Point Feature
75.7389915202,26.9053098898,60,Unknown Point Feature
75.7389932636,26.9053549408,61,Unknown Point Feature
75.7389951011,26.9053989711,62,Unknown Point Feature
75.7389970683,26.9054428201,63,Unknown Point Feature
75.7389992028,26.9054876253,64,Unknown Point Feature
75.7390026298,26.9055314216,65,Unknown Point Feature
75.7390061979,26.9055752171,66,Unknown Point Feature
75.7390089596,26.9056189085,67,Unknown Point Feature
75.7390105783,26.9056633642,68,Unknown Point Feature
75.7390110541,26.9057070586,69,Unknown Point Feature
75.7390107007,26.9057502246,70,Unknown Point Feature
75.7390093235,26.9057938925,71,Unknown Point Feature
75.7390078873,26.9058346988,72,Unknown Point Feature
75.7390062728,26.9058759664,73,Unknown Point Feature
75.7390052078,26.9059150102,74,Unknown Point Feature
75.739019418,26.9059522948,75,Unknown Point Feature
75.739063294,26.9059584843,76,Unknown Point Feature
75.739083934,26.9059192026,77,Unknown Point Feature
75.7390675121,26.9058732083,78,Unknown Point Feature
75.7390516268,26.905832294,79,Unknown Point Feature
75.7390392378,26.9057885898,80,Unknown Point Feature
75.739031563,26.9057435338,81,Unknown Point Feature
75.7390271002,26.9056984339,82,Unknown Point Feature
75.7390251307,26.9056542327,83,Unknown Point Feature
75.7390236821,26.9056235261,84,Unknown Point Feature
75.7390196423,26.9055645024,85,Unknown Point Feature
75.7390085465,26.9055229762,86,Unknown Point Feature
75.7389737428,26.9054949721,87,Unknown Point Feature
75.7389272227,26.9054863317,88,Unknown Point Feature
75.7388723663,26.9054826192,89,Unknown Point Feature
75.7388237385,26.9054797137,90,Unknown Point Feature
75.7387729195,26.9054774336,91,Unknown Point Feature
75.7387235184,26.905476392,92,Unknown Point Feature
75.7386738622,26.905474828,93,Unknown Point Feature
75.7386257982,26.9054734453,94,Unknown Point Feature
75.7385794131,26.9054716204,95,Unknown Point Feature
75.738531881,26.9054684112,96,Unknown Point Feature
75.7384858673,26.9054633161,97,Unknown Point Feature
75.7384410985,26.9054607153,98,Unknown Point Feature
75.7384521771,26.9054547439,99,Unknown Point Feature
75.7384737171,26.9054160173,100,Unknown Point Feature
75.7384869488,26.9054469061,101,Unknown Point Feature
75.7385289208,26.9054700337,102,Unknown Point Feature
75.7385788394,26.905477862,103,Unknown Point Feature
75.7386278993,26.9054821827,104,Unknown Point Feature
75.7386758701,26.9054878092,105,Unknown Point Feature
